nodeID,nodeLabel,group_or_role,sail,cohort,cabin_no,age,gender
32058122C,32058122C,C,1,MARINE,,,
3202A122C,3202A122C,C,1,MARINE,,,
32491122C,32491122C,C,1,MARINE,,,
31EE5122C,31EE5122C,C,1,MARINE,,,
3219E122C,3219E122C,C,1,MARINE,,,
3229F122C,3229F122C,C,1,MARINE,,,
30072122C,30072122C,C,1,MARINE,,,
2FD82122C,2FD82122C,C,1,MARINE,,,
32399122C,32399122C,C,1,MARINE,,,
323AA122C,323AA122C,C,1,MARINE,,,
32326122C,32326122C,C,1,MARINE,,,
322A2122C,322A2122C,C,1,MARINE,,,
3221C122C,3221C122C,C,1,MARINE,,,
31ED3122C,31ED3122C,C,1,MARINE,,,
31FAB122C,31FAB122C,C,1,MARINE,,,
322A5122C,322A5122C,C,1,MARINE,,,
3284D122C,3284D122C,C,1,MARINE,,,
3284E122C,3284E122C,C,1,MARINE,,,
32027122C,32027122C,C,1,MARINE,,,
321A7122C,321A7122C,C,1,MARINE,,,
325C6122C,325C6122C,C,1,MARINE,,,
3218D122C,3218D122C,C,1,MARINE,,,
31E58122C,31E58122C,C,1,MARINE,,,
3213A122C,3213A122C,C,1,MARINE,,,
3271B122C,3271B122C,C,1,MARINE,,,
2F7C6122C,2F7C6122C,C,1,MARINE,,,
31F25122C,31F25122C,C,1,MARINE,,,
2FE32122C,2FE32122C,C,1,MARINE,,,
322A1122C,322A1122C,C,1,MARINE,,,
31F6E122C,31F6E122C,C,1,MARINE,,,
32852122C,32852122C,C,1,MARINE,,,
31EDB122C,31EDB122C,C,1,MARINE,,,
3218B122C,3218B122C,C,1,MARINE,,,
31E4F122C,31E4F122C,C,1,MARINE,,,
2FBC5122C,2FBC5122C,C,1,MARINE,,,
31ED5122C,31ED5122C,C,1,MARINE,,,
2FFE3122C,2FFE3122C,C,1,MARINE,,,
32653122C,32653122C,C,1,MARINE,,,
320E6122C,320E6122C,C,1,MARINE,,,
3242E122C,3242E122C,C,1,MARINE,,,
320E8122C,320E8122C,C,1,MARINE,,,
32229122C,32229122C,C,1,MARINE,,,
3222A122C,3222A122C,C,1,MARINE,,,
31F64122C,31F64122C,C,1,MARINE,,,
32029122C,32029122C,C,1,MARINE,,,
32435122C,32435122C,C,1,MARINE,,,
32649122C,32649122C,C,1,MARINE,,,
324B6122C,324B6122C,C,1,MARINE,,,
32495122C,32495122C,C,1,MARINE,,,
3230F122C,3230F122C,C,1,MARINE,,,
321A5122C,321A5122C,C,1,MARINE,,,
3204C122C,3204C122C,C,1,MARINE,,,
32188122C,32188122C,C,1,MARINE,,,
3250D122C,3250D122C,C,1,MARINE,,,
320B6122C,320B6122C,C,1,MARINE,,,
2EB7C122C,2EB7C122C,C,1,MARINE,,,
31E50122C,31E50122C,C,1,MARINE,,,
3222D122C,3222D122C,C,1,MARINE,,,
2EE1B122C,2EE1B122C,C,1,MARINE,,,
3259C122C,3259C122C,C,1,MARINE,,,
3241A122C,3241A122C,C,1,MARINE,,,
324B7122C,324B7122C,C,1,MARINE,,,
32230122C,32230122C,C,1,MARINE,,,
32134122C,32134122C,C,1,MARINE,,,
321A4122C,321A4122C,C,1,MARINE,,,
3229E122C,3229E122C,C,1,MARINE,,,
32493122C,32493122C,C,1,MARINE,,,
3239C122C,3239C122C,C,1,MARINE,,,
32213122C,32213122C,C,1,MARINE,,,
32026122C,32026122C,C,1,MARINE,,,
32320122C,32320122C,C,1,MARINE,,,
3219F122C,3219F122C,C,1,MARINE,,,
32125122C,32125122C,C,1,MARINE,,,
3259B122C,3259B122C,C,1,MARINE,,,
3248C122C,3248C122C,C,1,MARINE,,,
320E4122C,320E4122C,C,1,MARINE,,,
32233122C,32233122C,C,1,MARINE,,,
3219D122C,3219D122C,C,1,MARINE,,,
3221A122C,3221A122C,C,1,MARINE,,,
325C1122C,325C1122C,C,1,MARINE,,,
2EB1E122C,2EB1E122C,C,1,MARINE,,,
32190122C,32190122C,C,1,MARINE,,,
3229B122C,3229B122C,C,1,MARINE,,,
3239A122C,3239A122C,C,1,MARINE,,,
31F68122C,31F68122C,C,1,MARINE,,,
31F29122C,31F29122C,C,1,MARINE,,,
32123122C,32123122C,C,1,MARINE,,,
32432122C,32432122C,C,1,MARINE,,,
3222C122C,3222C122C,C,1,MARINE,,,
3221B122C,3221B122C,C,1,MARINE,,,
323A0122C,323A0122C,C,1,MARINE,,,
32325122C,32325122C,C,1,MARINE,,,
32398122C,32398122C,C,1,MARINE,,,
320E3122C,320E3122C,C,1,MARINE,,,
32798122C,32798122C,C,1,MARINE,,,
3242D122C,3242D122C,C,1,MARINE,,,
322A0122C,322A0122C,C,1,MARINE,,,
322A7122C,322A7122C,C,1,MARINE,,,
32415122C,32415122C,C,1,MARINE,,,
3229D122C,3229D122C,C,1,MARINE,,,
320E2122C,320E2122C,C,1,MARINE,,,
32216122C,32216122C,C,1,MARINE,,,
3211B122C,3211B122C,C,1,MARINE,,,
32232122C,32232122C,C,1,MARINE,,,
323A6122C,323A6122C,C,1,MARINE,,,
3239D122C,3239D122C,C,1,MARINE,,,
327CB122C,327CB122C,C,1,MARINE,,,
32299122C,32299122C,C,1,MARINE,,,
324B9122C,324B9122C,C,1,MARINE,,,
324B2122C,324B2122C,C,1,MARINE,,,
32853122C,32853122C,C,1,MARINE,,,
32327122C,32327122C,C,1,MARINE,,,
3205D122C,3205D122C,C,1,MARINE,,,
31FAE122C,31FAE122C,C,1,MARINE,,,
326B1122C,326B1122C,C,1,MARINE,,,
30073122C,30073122C,C,1,MARINE,,,
3241D122C,3241D122C,C,1,MARINE,,,
32297122C,32297122C,C,1,MARINE,,,
3232A122C,3232A122C,C,1,MARINE,,,
3248D122C,3248D122C,C,1,MARINE,,,
32211122C,32211122C,C,1,MARINE,,,
2F63A122C,2F63A122C,C,1,MARINE,,,
3288B122C,3288B122C,C,1,MARINE,,,
324AE122C,324AE122C,C,1,MARINE,,,
31FA5122C,31FA5122C,C,1,MARINE,,,
31F2B122C,31F2B122C,C,1,MARINE,,,
32022122C,32022122C,C,1,MARINE,,,
31FA9122C,31FA9122C,C,1,MARINE,,,
3229C122C,3229C122C,C,1,MARINE,,,
3213D122C,3213D122C,C,1,MARINE,,,
3213E122C,3213E122C,C,1,MARINE,,,
3248A122C,3248A122C,C,1,MARINE,,,
31FD7122C,31FD7122C,C,1,MARINE,,,
3202C122C,3202C122C,C,1,MARINE,,,
3280C122C,3280C122C,C,1,MARINE,,,
32312122C,32312122C,C,1,MARINE,,,
32436122C,32436122C,C,1,MARINE,,,
3218E122C,3218E122C,C,1,MARINE,,,
31FD3122C,31FD3122C,C,1,MARINE,,,
2ECFB122C,2ECFB122C,C,1,MARINE,,,
3000F122C,3000F122C,C,1,MARINE,,,
2F394122C,2F394122C,C,1,MARINE,,,
2FD75122C,2FD75122C,C,1,MARINE,,,
2FFDE122C,2FFDE122C,C,1,MARINE,,,
2FC95122C,2FC95122C,C,1,MARINE,,,
2FE35122C,2FE35122C,C,1,MARINE,,,
2FE33122C,2FE33122C,C,1,MARINE,,,
2FE83122C,2FE83122C,C,1,MARINE,,,
30103122C,30103122C,C,1,MARINE,,,
2FF54122C,2FF54122C,C,1,MARINE,,,
2F0D4122C,2F0D4122C,C,1,MARINE,,,
2EBCC122C,2EBCC122C,C,1,MARINE,,,
2EC06122C,2EC06122C,C,1,MARINE,,,
2F2F7122C,2F2F7122C,C,1,MARINE,,,
300F8122C,300F8122C,C,1,MARINE,,,
