nodeID_from,nodeID_to,weight,contact_count,active_days
2555C122B,2AF1C122B,8,2,1
2555C122B,2AF48122B,10,2,1
2555C122B,2AFF4122B,30,2,1
2555C122B,2AFFC122B,32,2,1
2555C122B,2EA64122C,22,2,1
2555C122B,2EBBC122C,26,2,1
2555C122B,2EBC0122C,1646,4,1
2555C122B,2EBD7122C,26076,20,1
2555C122B,2EBF5122C,31844,36,2
2555C122B,2EBF7122C,4,2,1
2555C122B,2EBFB122C,598,2,1
2555C122B,2EC00122C,16,2,1
2555C122B,2EC02122C,184,2,1
2555C122B,2EC91122C,168,6,2
2555C122B,2ECF5122C,90,2,1
2555C122B,2EDFA122C,492,4,1
2555C122B,2F0C2122C,10,2,1
2555C122B,2F1CC122C,1022,4,1
2555C122B,2F5A5122C,804,2,1
2555C122B,2F60B122C,4,2,1
2555C122B,2F69C122C,330,2,1
2555C122B,2F69E122C,12,2,1
2555C122B,2F69F122C,11908,30,2
2555C122B,2F6A5122C,1648,10,2
2555C122B,2F6A6122C,242,6,2
2555C122B,2F6A8122C,392,2,1
2555C122B,2F728122C,14,2,1
2555C122B,2F73A122C,202,2,1
2555C122B,2F7B5122C,1554,10,2
2555C122B,2F7C8122C,5338,10,1
2555C122B,2F7C9122C,428,4,1
2555C122B,2F848122C,16,2,1
2555C122B,2F84E122C,100152,18,3
2555C122B,2F858122C,134,4,2
2555C122B,2F85B122C,404,10,1
2555C122B,2F8D6122C,38,4,2
2555C122B,2F8D9122C,2732,4,2
2555C122B,2F8DA122C,112,2,1
2555C122B,2F8DF122C,706,4,1
2555C122B,2F8E3122C,184,4,1
2555C122B,2F8E5122C,66,2,1
2555C122B,2F953122C,12,2,1
2555C122B,2F955122C,1844,12,2
2555C122B,2F958122C,570,6,1
2555C122B,2F95C122C,2078,10,1
2555C122B,2F96C122C,66,2,1
2555C122B,2F96E122C,4044,6,2
2555C122B,2F971122C,242,2,1
2555C122B,2F973122C,830,8,1
2555C122B,2F9DA122C,394,4,1
2555C122B,2F9FE122C,310,2,1
2555C122B,2FA00122C,28,2,1
2555C122B,2FBA4122C,540,2,1
2555C122B,2FBC4122C,520,4,2
2555C122B,2FBC6122C,542,2,1
2555C122B,2FBF9122C,50,2,1
2555C122B,2FC0F122C,2126,6,1
2555C122B,2FC28122C,11334,8,1
2555C122B,2FC93122C,90,2,1
2555C122B,2FC97122C,1796,6,2
2555C122B,2FC9A122C,12,2,1
2555C122B,2FCAA122C,22,2,1
2555C122B,2FCAC122C,76,6,1
2555C122B,2FCAD122C,348,4,1
2555C122B,2FCB2122C,2372,4,1
2555C122B,2FCFA122C,92,4,1
2555C122B,2FCFE122C,364,6,1
2555C122B,2FD00122C,510,2,1
2555C122B,2FD04122C,36,4,2
2555C122B,2FD11122C,36,2,1
2555C122B,2FD16122C,724,4,1
2555C122B,2FD17122C,28890,28,2
2555C122B,2FD86122C,452,2,1
2555C122B,2FD88122C,40,2,1
2555C122B,2FD89122C,1986,8,2
2555C122B,2FD8A122C,56,2,1
2555C122B,2FD8D122C,6268,32,1
2555C122B,2FDA4122C,2,2,1
2555C122B,2FDAD122C,444,4,1
2555C122B,2FDE2122C,934,8,2
2555C122B,2FE31122C,40,2,1
2555C122B,2FE33122C,2,2,1
2555C122B,2FE37122C,240,2,1
2555C122B,2FE38122C,36716,66,1
2555C122B,2FE3A122C,640,4,1
2555C122B,2FE3C122C,2166,4,1
2555C122B,2FE86122C,2826,8,1
2555C122B,2FE8A122C,252,4,1
2555C122B,2FEC8122C,2040,8,2
2555C122B,2FF04122C,392,2,1
2555C122B,2FF8F122C,370,4,2
2555C122B,2FF95122C,104,2,1
2555C122B,2FFE8122C,2638,4,2
2555C122B,3000E122C,150,2,1
2555C122B,30070122C,744,4,1
2555C122B,300A0122C,60,2,1
2555C122B,30100122C,120,4,2
2555C122B,30101122C,398,2,1
2555C122B,30132122C,1166,2,1
2555C122B,30136122C,60,2,1
2555C122B,30139122C,2112,6,2
2555C122B,31217122C,6,2,1
2555C122B,3126A122C,16,2,1
2555C122B,313F0122C,204,2,1
